Time,Data,Latitude,Longitude
2015-10-18 17:13:23.212,,,
2015-10-18 17:13:23.408,"!!!VER:1.9,AN0:16.18,AN1:179.60,AN2:-102.18,AN3:-2145.91,AN4:12N:2891A:-135,A5:997,LL-70,CH-.0YW:124M:O**
",-36.881542,174.64563
2015-10-18 17:13:23.797,"!!!VER:1.9,AN0:16.18,AN1:178.60,AN2:-109.18,AN3:-227.91,AN4:-11!!!VER:1.9,AN0:20.18,AN1:168.60,AN2:-116.18,AN3:-174.91,AN4:-1103.52,AN5:19761.70,RLL:-36.02,PCH:-5.11,YAW:113.35,IMUH:0,TOW:0**
!!!VER:1.9,AN0:5.18,AN1:156.60,AN2:-98.18,AN3:-168.91,AN4:-1178",174.64566,174.64563
2015-10-18 17:13:24.047,"!!!VER:1.9,AN0:-2.82,AN1:173.60,AN2:-65.18,AN3:-224.91,AN4:-101!!!VER:1.9,AN0:16.18,AN1:157.60,AN2:-92.18,AN3:-206.91,AN4:-1077.52,AN5:19890.70,RLL:-34.63,PCH:-3.16,YAW:115.43,IMUH:0,TOW:0***",-36.881508,174.64566
2015-10-18 17:13:24.460,"!!!VER:1.9,AN0:4.18,AN1:178.60,AN2:-88.18,AN3:-215.91,AN4:-1115!!!VER:1.9,AN0:-6.82,AN1:184.60,AN2:-114.18,AN3:-161.91,AN4:-1101.52,AN5:19784.70,RLL:-34.06,PCH:-1.71,YAW:116.69,IMUH:0,TOW:0**
!!!VER:1.9,AN0:-6.82,AN1:175.60,AN2:-127.18,AN3:-244.91,AN4:-10",-36.881508,174.64566
2015-10-18 17:13:24.975,"!!!VER:1.9,AN0:-6.82,AN1:187.60,AN2:-114.18,AN3:-208.91,AN4:-10!!!VER:1.9,AN0:24.18,AN1:177.60,AN2:-104.18,AN3:-165.91,AN4:-1133.52,AN5:19807.70,RLL:-33.00,PCH:0.25,YAW:118.42,IMUH:0,TOW:0**
!!!VER:1.9,AN0:18.18,AN1:149.60,AN2:-120.18,AN3:-182.91,AN4:-115",-36.881508,174.64566
2015-10-18 17:13:25.247,"!!!VER:1.9,AN0:8.18,AN1:174.60,AN2:-83.18,AN3:-188.91,AN4:-1075!!!VER:1.9,AN0:10.18,AN1:158.60,AN2:-133.18,AN3:-137.91,AN4:-1082.52,AN5:19879.70,RLL:-31.44,PCH:2.92,YAW:121.25,IMUH:0,TOW:0***",-36.881508,174.64566
2015-10-18 17:13:25.490,"!!!VER:1.9,AN0:33.18,AN1:166.60,AN2:-109.18,AN3:-210.91,AN4:-11!!!VER:1.9,AN0:-1.82,AN1:190.60,AN2:-94.18,AN3:-125.91,AN4:-1238.52,AN5:19977.70,RLL:-30.87,PCH:4.36,YAW:122.68,IMUH:0,TOW:0***",-36.881508,174.64566
2015-10-18 17:13:25.905,"!!!VER:1.9,AN0:13.18,AN1:170.60,AN2:-90.18,AN3:-197.91,AN4:-997!!!VER:1.9,AN0:23.18,AN1:160.60,AN2:-122.18,AN3:-186.91,AN4:-1196.52,AN5:19941.70,RLL:-30.36,PCH:6.06,YAW:124.33,IMUH:0,TOW:0***!!!VER:1.9,AN0:5.18,AN1:179.60,AN2:-122.18,AN3:-250.91,AN4:-1069",-36.881508,174.64566
2015-10-18 17:13:26.150,"!!!VER:1.9,AN0:43.18,AN1:156.60,AN2:-112.18,AN3:-224.91,AN4:-10!!!VER:1.9,AN0:41.18,AN1:160.60,AN2:-112.18,AN3:-209.91,AN4:-1188.52,AN5:19811.70,RLL:-29.37,PCH:8.18,YAW:126.77,IMUH:0,TOW:0**
",-36.881508,174.64566
