Time,Lat,Long,Pitch,Yaw,Roll,AccX,AccY,AccZ,GyroX,GyroY,GyroZ
2015-10-18 20:02:09.196,-36.887314,174.66107,66.92,-121.62,-169.97,-899.87,2279.97,-10982.31,-1245.95,535.98,-37.90
2015-10-18 20:02:09.686,-36.887314,174.66107,65.76,-119.44,-167.70,-953.87,2309.97,-10980.31,-1244.95,530.98,-42.90
2015-10-18 20:02:10.023,-36.887314,174.66107,64.49,-117.69,-165.85,-919.87,2237.97,-10942.31,-1243.95,534.98,-39.90
2015-10-18 20:02:10.390,-36.887314,174.66107,63.26,-116.00,-164.06,-916.87,2281.97,-10973.31,-1243.95,527.98,-43.90
2015-10-18 20:02:10.795,-36.887314,174.66107,61.93,-114.71,-162.66,-925.87,2289.97,-10905.31,-1244.95,533.98,-40.90
2015-10-18 20:02:11.294,-36.887314,174.66107,60.59,-113.54,-161.40,-971.87,2271.97,-10936.31,-1244.95,530.98,-41.90
2015-10-18 20:02:11.435,-36.887314,174.66107,59.25,-112.49,-160.30,-906.87,2320.97,-10953.31,-1244.95,528.98,-43.90
2015-10-18 20:02:11.857,-36.887314,174.66107,58.31,-111.93,-159.71,-991.87,2258.97,-10941.31,-1243.95,532.98,-40.90
2015-10-18 20:02:12.242,-36.887314,174.66107,56.90,-111.17,-158.94,-886.87,2294.97,-10937.31,-1244.95,529.98,-41.90
2015-10-18 20:02:12.664,-36.887314,174.66107,55.49,-110.49,-158.26,-914.87,2282.97,-10942.31,-1244.95,531.98,-41.90
2015-10-18 20:02:12.921,-36.887314,174.66107,54.03,-109.97,-157.79,-901.87,2293.97,-10970.31,-1243.95,534.98,-39.90
2015-10-18 20:02:13.319,-36.887314,174.66107,53.09,-109.55,-157.45,-901.87,2289.97,-10902.31,-1244.95,527.98,-42.90
2015-10-18 20:02:13.718,-36.887314,174.66107,51.63,-109.09,-157.11,-948.87,2261.97,-10924.31,-1244.95,535.98,-38.90
2015-10-18 20:02:14.369,-36.887314,174.66107,50.17,-108.65,-156.86,-862.87,2250.97,-10941.31,-1243.95,532.98,-40.90
2015-10-18 20:02:14.787,-36.887314,174.66107,48.71,-108.21,-156.67,-928.87,2271.97,-10898.31,-1244.95,533.98,-39.90
2015-10-18 20:02:14.949,-36.887314,174.66107,47.25,-107.83,-156.58,-925.87,2274.97,-10898.31,-1244.95,529.98,-42.90
2015-10-18 20:02:15.223,-36.887314,174.66107,45.78,-107.49,-156.55,-950.87,2283.97,-10918.31,-1244.95,529.98,-42.90
2015-10-18 20:02:15.451,-36.887314,174.66107,44.75,-107.41,-156.66,-962.87,2267.97,-10957.31,-1243.95,535.98,-37.90
2015-10-18 20:02:15.988,-36.887314,174.66107,43.76,-107.19,-156.71,-928.87,2260.97,-10881.31,-1243.95,529.98,-42.90
2015-10-18 20:02:16.225,-36.887314,174.66107,42.35,-106.81,-156.78,-938.87,2276.97,-10941.31,-1244.95,527.98,-43.90
2015-10-18 20:02:16.622,-36.887314,174.66107,40.79,-106.69,-157.08,-917.87,2268.97,-10925.31,-1244.95,537.98,-37.90
2015-10-18 20:02:17.084,-36.887314,174.66107,39.36,-106.32,-157.29,-914.87,2235.97,-10943.31,-1244.95,526.98,-43.90
2015-10-18 20:02:17.607,-36.887314,174.66107,37.93,-106.03,-157.56,-921.87,2285.97,-10937.31,-1244.95,530.98,-42.90
2015-10-18 20:02:17.814,-36.887314,174.66106,36.45,-105.85,-157.94,-920.87,2249.97,-10949.31,-1244.95,532.98,-39.90
2015-10-18 20:02:18.225,-36.887302,174.66106,35.01,-105.59,-158.33,-922.87,2326.97,-10933.31,-1244.95,529.98,-40.90
2015-10-18 20:02:18.620,-36.887302,174.66106,33.58,-105.33,-158.76,-873.87,2277.97,-10953.31,-1244.95,531.98,-41.90
2015-10-18 20:02:19.080,-36.887302,174.66106,32.13,-105.11,-159.27,-937.87,2285.97,-10914.31,-1244.95,535.98,-38.90
2015-10-18 20:02:19.417,-36.887302,174.66106,30.61,-104.98,-159.87,-806.87,2286.97,-10911.31,-1244.95,537.98,-36.90
2015-10-18 20:02:19.707,-36.887302,174.66106,29.35,-104.44,-160.30,-880.87,2271.97,-10995.31,-1244.95,525.98,-47.90
2015-10-18 20:02:19.944,-36.887302,174.66106,28.54,-104.07,-160.60,-984.87,2284.97,-10939.31,-1246.95,516.98,-50.90
2015-10-18 20:02:20.348,-36.887302,174.66106,27.46,-104.12,-161.11,-952.87,2269.97,-10943.31,-1244.95,547.98,-29.90
2015-10-18 20:02:20.818,-36.887302,174.66106,26.04,-103.88,-161.79,-922.87,2339.97,-10853.31,-1245.95,529.98,-40.90
2015-10-18 20:02:21.006,-36.887302,174.66106,24.85,-103.36,-162.36,-908.87,2268.97,-10926.31,-1244.95,521.98,-50.90
2015-10-18 20:02:21.409,-36.887302,174.66106,23.95,-103.12,-162.80,-1012.87,2293.97,-11017.31,-1244.95,533.98,-42.90
