Time,Lat,Long,Pitch,Yaw,Roll,AccX,AccY,AccZ,GyroX,GyroY,GyroZ
2015-10-18 17:14:53.401,-36.881527,174.64574,22.20,36.48,153.44,-221.91,3055.48,20379.70,29.18,152.60,-109.18
2015-10-18 17:14:53.715,-36.881527,174.64574,19.95,36.76,155.35,-637.91,2918,20457.70,8.18,170.60,-103.18
2015-10-18 17:14:54.186,-36.881527,174.64574,17.64,37.01,157.12,-721.91,296,20382.70,11.18,174.60,-103.18
2015-10-18 17:14:54.598,-36.881527,174.64574,15.26,37.21,158.75,-616.91,297,20466.70,10.18,172.60,-104.18
2015-10-18 17:14:55.134,-36.881527,174.64574,12.79,37.40,160.29,-784.91,298,20333.70,16.18,175.60,-104.18
2015-10-18 17:14:55.501,-36.881527,174.64574,10.26,37.59,161.71,-726.91,301,20428.70,11.18,172.60,-103.18
2015-10-18 17:14:55.729,-36.881527,174.64574,7.71,37.74,163.01,-723.91,290,20415.70,10.18,172.60,-103.18
2015-10-18 17:14:55.985,-36.881527,174.64574,5.99,37.91,163.81,-747.91,295,20405.70,14.18,174.60,-103.18
2015-10-18 17:14:56.270,-36.881527,174.64574,4.26,38.03,164.56,-685.91,290,20470.70,14.18,172.60,-103.18
2015-10-18 17:14:56.620,-36.881527,174.64574,2.50,38.15,165.27,-816.91,290,20484.70,14.18,172.60,-103.18
2015-10-18 17:14:57.078,-36.881527,174.64574,-0.18,38.37,166.29,-782.91,300,20356.70,17.18,173.60,-103.18
2015-10-18 17:14:57.338,-36.881527,174.64574,-2.90,38.64,167.21,-709.91,2910,20410.70,9.18,171.60,-103.18
2015-10-18 17:14:57.755,-36.881527,174.64574,-4.73,38.83,167.77,-732.91,3019,20455.70,9.18,173.60,-104.18
2015-10-18 17:14:58.099,-36.881527,174.64574,-7.47,39.14,168.54,-716.91,2887,20405.70,8.18,173.60,-103.18
2015-10-18 17:14:58.371,-36.881527,174.64574,-10.23,39.49,169.22,-769.91,2990,20466.70,9.18,172.60,-103.18
2015-10-18 17:14:58.952,-36.881527,174.64574,-15.90,40.32,170.33,-748.91,292,20438.70,13.18,173.60,-103.18
2015-10-18 17:14:59.207,-36.881527,174.64574,-17.79,40.64,170.62,-676.91,286,20419.70,11.18,171.60,-104.18
2015-10-18 17:15:00.790,-36.881527,174.64574,-27.36,42.62,171.53,-685.91,292,20406.70,12.18,171.60,-104.18
2015-10-18 17:15:01.096,-36.881527,174.64574,-31.18,43.73,171.59,-769.91,291,20497.70,12.18,172.60,-104.18
2015-10-18 17:15:01.664,-36.881527,174.64574,-33.10,44.31,171.55,-779.91,300,20402.70,15.18,173.60,-104.18
2015-10-18 17:15:01.967,-36.881527,174.64574,-36.96,45.75,171.30,-734.91,2983,20387.70,9.18,174.60,-103.18
2015-10-18 17:15:02.280,-36.881527,174.64574,-38.88,46.52,171.05,-633.91,2907,20414.70,8.18,171.60,-103.18
2015-10-18 17:15:03.198,-36.881527,174.64574,-44.57,49.10,169.91,-722.91,2991,20460.70,9.18,174.60,-104.18
